TWEET_ID,WORD_ID
86,1099
86,21263
86,16194
86,10831
86,11006
86,15045
86,9174
86,1099
86,5010
86,8400
86,6069
86,4526
87,11795
87,20145
87,6854
88,7921
88,1310
88,6932
88,4943
88,16895
88,8638
88,12741
89,1625
89,1386
89,571
89,13700
89,5693
89,8436
89,3686
89,10796
89,5264
89,13917
89,17673
89,21491
89,1732
90,2875
90,12628
91,21285
91,15428
92,8540
92,18104
92,11866
92,10965
92,2323
92,1457
92,13936
93,14993
93,3867
93,7666
93,19958
93,18324
93,21842
94,15823
94,18328
94,14122
95,10446
95,3602
95,21283
95,897
95,8031
96,15182
96,7480
96,1436
97,18120
97,3003
98,8678
98,15250
98,4000
98,21567
98,6939
99,2875
99,2903
99,16253
99,13379
99,14063
100,12738
100,12565
100,5389
101,9523
101,4778
101,13553
102,16578
102,10446
103,10098
103,4778
104,17978
104,21259
105,1721
105,15611
105,1721
105,6229
105,11347
105,15611
106,15611
106,6548
106,12793
107,20384
107,4565
107,4778
107,5573
107,6403
107,21187
108,8089
108,14194
108,15256
108,19091
108,11621
108,1386
108,6561
108,5700
108,21798
109,21283
109,9716
110,6666
111,4629
111,11165
111,21436
111,9816
111,11116
112,11423
112,12452
113,15538
113,12144
113,14122
114,997
114,3085
114,773
114,13553
114,4701
114,15900
115,5700
115,5276
115,16184
115,2516
115,9049
115,1518
116,3013
116,5965
117,6540
117,17652
117,2872
117,11286
117,2053
117,19814
117,19710
117,15538
117,1436
117,20755
118,1721
118,12008
118,20266
118,8031
119,1271
119,19220
119,4943
119,15255
119,10103
119,6662
119,19958
119,15538
119,36
119,21175
119,8450
119,8348
119,8450
119,15029
120,11336
120,849
121,11320
121,5398
122,21285
122,17522
122,79
122,19873
122,2609
123,16623
123,12793
123,13200
123,9786
123,8070
124,14788
124,3010
124,20243
124,15923
124,14995
124,4778
124,10142
124,15070
124,8812
124,6692
124,9803
124,7331
125,16194
125,21675
125,2299
125,5700
125,17634
126,10446
126,8089
127,15312
127,19203
127,9697
128,10446
128,8089
128,7101
129,9603
129,5847
129,16443
129,18099
129,12972
129,16590
130,9850
130,19522
130,8971
130,5244
130,2027
130,2131
130,671
130,9916
130,2875
131,15250
131,7994
131,14453
131,4223
131,4223
131,1625
132,19091
132,15538
132,1625
132,12452
132,5700
132,14518
132,14122
133,14559
133,8583
134,13213
134,18614
134,13799
135,16115
135,16061
136,9379
136,18603
136,5779
137,8583
138,2875
138,5134
139,4262
139,16109
139,14122
139,6048
140,15182
140,11286
140,15312
140,1436
140,4467
140,11869
140,14122
140,1457
141,16715
141,11165
141,10932
141,21671
141,20604
141,16195
141,21566
141,20217
141,11913
142,19081
142,17822
142,2845
142,1271
142,9850
142,6299
142,7210
142,8647
142,1534
142,1271
142,13553
143,2875
144,21283
144,12998
144,5142
145,16263
145,21881
145,10120
145,5791
145,7719
145,19873
145,17969
146,18962
146,21309
147,12866
147,7379
147,15611
147,20142
147,17917
148,15065
148,434
148,5134
148,5703
148,20486
148,11959
148,19084
148,187
148,7988
148,5891
148,9508
148,15086
148,17407
149,20544
149,19203
149,18461
149,5779
149,5703
150,6403
150,1250
150,15885
150,1533
150,13721
150,16776
150,18937
150,19926
150,13594
150,13166
151,15538
151,9716
151,10446
152,16131
152,14760
